Latitude,Longitude,ListingPrice,BedroomCount,BathroomCount,RentSpaceSize,TimeOnMarket
40.726414,-73.955596,"$2,500/mo",2,1.0,900,10 days ago
40.720152,-73.945585,"$2,400/mo",2,1.0,--,11 days ago
40.724064,-73.949319,"$2,650/mo",1,2.0,--,11 days ago
40.736885,-73.954348,"$2,850/mo",2,2.0,--,11 days ago
40.726338,-73.946574,"$1,954/mo",1,1.0,--,11 days ago
40.729055,-73.953472,"$2,800/mo",2,1.0,--,11 days ago
40.72757,-73.949292,"$2,500/mo",2,1.0,--,11 days ago
40.725472,-73.946482,"$2,200/mo",2,1.0,800,11 days ago
40.731408,-73.954701,"$2,000/mo",2,1.0,--,11 days ago
40.735022,-73.954223,"$1,700/mo",--,1.0,298,Open: Fri. 12-1pm
40.732674,-73.954344,"$2,300/mo",1,1.0,--,11 days ago
40.72219,-73.942331,"$2,125/mo",2,1.0,750,11 days ago
40.734728,-73.954357,"$1,700/mo",1,1.0,--,12 days ago
40.733335,-73.953855,"$2,700/mo",1,1.0,--,13 days ago
40.723438,-73.950286,"$2,790/mo",2,1.0,--,13 days ago
40.734546,-73.95199,"$2,495/mo",1,1.0,750,Open: Fri. 9am-7pm
40.724807,-73.94694,"$2,500/mo",2,2.0,--,14 days ago
40.724191,-73.947319,"$1,999/mo",1,1.0,--,14 days ago
40.730203,-73.95673,"$2,300/mo",1,1.0,800,Open: Sat. 12:30-3:30pm
40.731586,-73.952476,"$3,050/mo",4,1.0,--,16 days ago
40.723025,-73.942837,"$2,575/mo",3,1.0,"1,000",16 days ago
40.73048,-73.953571,"$2,400/mo",2,2.0,550,16 days ago
40.726667,-73.95574,"$2,167/mo",1,1.0,--,16 days ago
40.732618,-73.953826,"$2,660/mo",1,1.0,--,16 days ago
40.721832,-73.945431,"$1,999/mo",2,1.0,725,17 days ago
40.726105,-73.946841,"$2,000/mo",1,1.5,650,17 days ago
40.729038,-73.952053,"$1,699/mo",1,1.0,415,18 days ago
40.728893,-73.953988,"$3,100/mo",3,1.0,800,19 days ago
40.73261,-73.956886,"$2,500/mo",2,1.0,"1,000",20 days ago
40.729314,-73.953591,"$2,600/mo",1,1.0,900,20 days ago
40.726415,-73.948145,"$2,200/mo",1,2.0,--,20 days ago
40.727178,-73.948433,"$2,500/mo",1,1.5,--,21 days ago
40.733394,-73.955104,"$2,300/mo",1,1.0,675,21 days ago
40.723856,-73.938907,"$2,795/mo",4,2.0,--,21 days ago
40.725271,-73.940335,"$2,350/mo",1,1.0,--,21 days ago
40.725981,-73.948341,"$2,200/mo",1,1.0,--,21 days ago
40.734154,-73.952805,"$2,185/mo",2,1.0,700,22 days ago
40.735434,-73.954471,"$2,200/mo",1,1.0,700,23 days ago
40.724332,-73.941735,"$2,749/mo",2,1.0,--,24 days ago
40.733579,-73.958497,"$3,845/mo",3,1.0,--,24 days ago
40.729665,-73.952412,"$2,350/mo",2,1.0,900,24 days ago
40.722366,-73.948807,"$2,999/mo",2,2.0,"1,001",24 days ago
40.733006,-73.95271,"$2,200/mo",1,1.0,650,25 days ago
40.734034,-73.954057,"$2,195/mo",1,1.0,--,25 days ago
40.736152,-73.954496,"$1,495/mo",1,1.0,--,27 days ago
40.728419,-73.948161,"$1,799/mo",1,1.0,750,29 days ago
40.736518,-73.953649,"$3,995/mo",4,2.0,--,30 days ago
40.719538,-73.946,"$3,500/mo",4,2.0,--,Open: Fri. 8am-8:45pm
40.731961,-73.957411,"$2,300/mo",2,1.0,--,31 days ago
40.73481,-73.95648,"$1,999/mo",1,1.0,--,32 days ago
40.725996,-73.938224,"$2,025/mo",2,1.0,--,33 days ago
40.732351,-73.95662,"$2,500/mo",2,1.0,--,34 days ago
40.733163,-73.95865,"$3,500/mo",1,1.0,--,34 days ago
40.730549,-73.952849,"$1,899/mo",1,1.0,--,34 days ago
40.719675,-73.946373,"$3,000/mo",2,1.0,750,34 days ago
40.732857,-73.951282,"$1,899/mo",1,1.0,--,34 days ago
40.729889,-73.953801,"$2,550/mo",2,2.0,--,36 days ago
40.735048,-73.953951,"$2,510/mo",2,1.0,--,36 days ago
40.734336,-73.951981,"$2,945/mo",3,1.5,--,36 days ago
40.728507,-73.952836,"$2,799/mo",2,2.0,--,37 days ago
40.722983,-73.949624,"$2,500/mo",2,2.0,550,39 days ago
40.732408,-73.954943,"$1,950/mo",1,1.0,600,40 days ago
40.724063,-73.939188,"$2,100/mo",3,1.0,--,40 days ago
40.735571,-73.953037,"$2,500/mo",2,1.0,--,41 days ago
40.730178,-73.956994,"$1,825/mo",--,1.0,--,42 days ago
40.727362,-73.946639,"$1,600/mo",--,1.0,285,42 days ago
40.732146,-73.954817,"$2,200/mo",2,1.0,"1,000",48 days ago
40.722374,-73.944623,"$1,849/mo",2,1.0,800,49 days ago
40.723046,-73.94055,"$2,600/mo",2,1.0,--,50 days ago
40.726743,-73.946219,"$2,400/mo",1,1.0,750,55 days ago
40.720565,-73.94782,"$2,830/mo",--,1.0,422,55 days ago
40.724186,-73.941103,"$2,070/mo",2,1.0,"1,000",56 days ago
40.736416,-73.954721,"$2,400/mo",2,1.0,--,57 days ago
40.727575,-73.950187,"$1,740/mo",1,1.0,750,61 days ago
40.721207,-73.944941,"$2,300/mo",2,1.0,--,63 days ago
40.721242,-73.946087,"$3,000/mo",3,1.0,--,64 days ago
40.721132,-73.943368,"$1,875/mo",1,1.0,--,70 days ago
40.732314,-73.957007,"$2,250/mo",1,1.0,750,70 days ago
40.73022,-73.956551,"$2,300/mo",1,1.0,--,70 days ago
40.736433,-73.954542,"$1,850/mo",1,1.0,550,70 days ago
40.721443,-73.943143,"$2,000/mo",1,1.0,725,80 days ago
40.729777,-73.951882,"$2,500/mo",--,1.0,--,89 days ago
40.731363,-73.954832,"$2,400/mo",2,1.0,700,93 days ago
40.734499,-73.958619,"$2,700/mo",2,2.0,700,101 days ago
40.723972,-73.945408,"$2,199/mo",2,1.0,900,118 days ago
40.720725,-73.943882,"$2,600/mo",3,1.0,--,119 days ago
40.724287,-73.940173,"$1,800/mo",2,1.0,"1,200",128 days ago
40.723119,-73.941614,"$2,200/mo",2,1.0,--,142 days ago
40.732115,-73.959113,"$3,650/mo",4,2.0,--,148 days ago
40.724807,-73.95169,"$3,800/mo",2,1.0,"1,050",148 days ago
40.725024,-73.939921,"$3,750/mo",2,1.0,"1,050",148 days ago
40.735183,-73.955913,"$2,799/mo",1,1.0,--,162 days ago
40.728253,-73.951609,"$3,600/mo",3,1.0,"1,000",192 days ago
40.729764,-73.957325,"$2,195/mo",2,1.0,--,203 days ago
40.735242,-73.953155,"$2,650/mo",1,1.0,750,227 days ago
